全年 能耗,全年总 Reward,平均 Reward,平均 PMV,平均 温度 (人在家),平均 温度 (人不在家),平均 PMV (人在家),平均 PMV (人不在家),月均 温度 (人在家),月均 温度 (人不在家),月均 PMV (人在家),月均 PMV (人不在家),月均 能耗 
3135.44,49051.51,0.7,0.77,25.41,25.09,0.67,0.96,"[19.62, 20.5, 23.73, 26.37, 27.27, 27.86, 30.06, 28.75, 27.77, 26.65, 24.48, 21.57]","[19.18, 19.7, 23.14, 24.99, 26.24, 27.92, 31.22, 30.01, 27.26, 25.58, 24.07, 21.34]","[0.75, 0.72, 0.77, 0.47, 0.45, 0.47, 1.36, 0.78, 0.58, 0.38, 0.66, 0.6]","[0.95, 0.96, 0.85, 0.59, 0.81, 0.72, 2.1, 1.33, 1.06, 0.62, 0.7, 0.74]","[480.11, 433.06, 409.76, 283.69, 171.61, 59.54, 25.74, 22.29, 112.12, 273.4, 385.36, 478.77]"
2165.53,53460.04,0.76,1.01,24.49,21.6,0.72,1.48,"[19.86, 20.36, 22.14, 24.85, 26.49, 27.7, 27.93, 28.17, 27.2, 25.31, 22.85, 20.74]","[12.7, 13.11, 17.26, 22.19, 25.29, 27.75, 28.53, 29.06, 26.82, 23.32, 18.56, 14.08]","[0.66, 0.7, 1.05, 0.79, 0.66, 0.47, 0.77, 0.6, 0.58, 0.72, 0.99, 0.63]","[2.0, 2.26, 2.31, 1.34, 1.06, 0.66, 1.12, 1.0, 0.89, 1.27, 2.11, 1.84]","[321.63, 281.41, 240.46, 186.17, 125.02, 51.45, 111.87, 46.88, 95.77, 182.55, 229.48, 292.84]"
2758.22,51376.21,0.73,0.98,24.1,24.26,0.89,1.13,"[18.61, 19.41, 22.36, 23.81, 25.54, 27.25, 29.84, 28.59, 26.45, 23.53, 23.01, 20.47]","[18.46, 19.19, 21.37, 23.49, 25.89, 27.91, 31.3, 29.96, 27.48, 24.15, 21.69, 19.88]","[0.86, 0.88, 0.91, 0.9, 0.89, 0.59, 1.42, 0.8, 0.78, 1.15, 0.81, 0.67]","[0.94, 0.99, 1.23, 1.07, 0.96, 0.69, 2.05, 1.31, 1.0, 1.1, 1.29, 0.84]","[466.08, 423.79, 374.13, 214.48, 131.76, 45.02, 23.87, 16.1, 85.77, 183.45, 338.88, 454.9]"
1101.25,54067.32,0.77,1.48,22.36,22.19,1.37,1.65,"[15.61, 16.37, 19.55, 21.81, 24.35, 26.86, 29.67, 28.48, 25.71, 21.91, 20.21, 17.44]","[13.78, 14.26, 18.17, 21.85, 24.91, 27.54, 31.09, 29.84, 26.72, 22.8, 19.14, 15.58]","[1.52, 1.6, 1.69, 1.53, 1.33, 0.73, 1.49, 0.85, 1.01, 1.73, 1.66, 1.37]","[1.88, 2.09, 2.14, 1.59, 1.31, 0.81, 2.11, 1.34, 1.22, 1.56, 2.05, 1.75]","[194.18, 172.06, 150.02, 79.06, 45.95, 17.45, 10.0, 7.32, 28.63, 69.38, 137.33, 189.87]"
2110.97,50913.9,0.73,1.14,23.37,22.67,0.98,1.41,"[16.41, 17.19, 20.79, 24.01, 25.69, 27.3, 29.43, 28.48, 26.57, 24.35, 21.65, 18.15]","[15.39, 15.92, 19.09, 21.89, 24.94, 27.59, 30.52, 29.67, 26.67, 22.67, 20.1, 17.06]","[1.23, 1.33, 1.3, 0.84, 0.81, 0.53, 1.2, 0.72, 0.7, 0.87, 1.18, 1.01]","[1.49, 1.65, 1.8, 1.4, 1.19, 0.74, 1.84, 1.23, 1.1, 1.48, 1.67, 1.37]","[340.01, 307.2, 277.51, 179.79, 106.63, 36.88, 21.15, 14.44, 72.79, 166.57, 258.4, 329.6]"
2153.21,52729.88,0.75,1.17,25.42,21.07,0.74,1.88,"[19.75, 21.0, 23.94, 26.05, 26.93, 27.83, 30.12, 28.84, 27.35, 26.28, 24.53, 22.08]","[10.05, 10.65, 16.27, 21.54, 24.95, 27.77, 31.16, 30.0, 26.92, 22.64, 17.68, 12.46]","[0.88, 0.77, 0.77, 0.54, 0.58, 0.56, 1.42, 0.82, 0.66, 0.49, 0.68, 0.69]","[2.59, 2.86, 2.6, 1.59, 1.32, 0.8, 2.12, 1.34, 1.19, 1.55, 2.37, 2.25]","[289.61, 272.83, 269.33, 205.81, 134.74, 64.83, 33.67, 32.61, 87.47, 202.28, 255.75, 304.28]"
2049.1,47986.96,0.68,1.09,23.86,22.38,0.9,1.41,"[16.61, 17.52, 21.54, 25.1, 26.66, 27.67, 28.61, 28.24, 27.34, 25.5, 22.46, 18.7]","[12.1, 13.29, 18.51, 23.33, 25.99, 27.98, 30.27, 29.73, 27.49, 24.3, 19.82, 15.21]","[1.25, 1.29, 1.24, 0.74, 0.65, 0.51, 1.0, 0.67, 0.62, 0.7, 1.13, 1.0]","[2.15, 2.24, 1.99, 0.97, 0.9, 0.69, 1.57, 1.21, 0.9, 0.95, 1.77, 1.65]","[276.69, 257.85, 251.93, 186.05, 123.47, 49.78, 67.47, 35.85, 89.7, 182.27, 240.5, 287.55]"
1828.7,50337.2,0.72,1.34,22.06,22.81,1.31,1.4,"[12.81, 13.72, 18.26, 23.23, 25.67, 27.54, 29.67, 28.6, 26.81, 23.83, 19.26, 14.79]","[13.07, 13.65, 18.89, 23.94, 26.3, 27.96, 31.07, 29.91, 27.86, 24.82, 20.21, 15.47]","[1.96, 2.11, 1.99, 1.1, 0.87, 0.53, 1.24, 0.72, 0.67, 1.06, 1.85, 1.67]","[1.96, 2.15, 1.93, 1.0, 0.81, 0.66, 1.94, 1.29, 0.89, 0.89, 1.69, 1.58]","[241.4, 218.26, 222.85, 188.33, 125.58, 54.49, 27.57, 22.65, 93.78, 181.58, 210.17, 242.05]"
