CMDLINE /home/lf/miniconda3/envs/maddpg/bin/python rdqn_train.py
MEM 843.808594 1721469276.1186
MEM 843.808594 1721469276.2187
MEM 843.964844 1721469276.3189
MEM 843.964844 1721469276.4190
MEM 843.964844 1721469276.5192
MEM 844.121094 1721469276.6194
MEM 844.433594 1721469276.7196
MEM 844.589844 1721469276.8198
MEM 844.746094 1721469276.9200
MEM 845.058594 1721469277.0202
MEM 845.058594 1721469277.1204
MEM 845.058594 1721469277.2206
MEM 845.058594 1721469277.3207
MEM 845.214844 1721469277.4209
MEM 845.214844 1721469277.5211
MEM 845.527344 1721469277.6213
MEM 845.683594 1721469277.7215
MEM 845.683594 1721469277.8217
MEM 845.683594 1721469277.9218
MEM 846.152344 1721469278.0220
MEM 846.464844 1721469278.1222
MEM 846.464844 1721469278.2224
MEM 846.464844 1721469278.3226
MEM 846.777344 1721469278.4228
MEM 846.777344 1721469278.5230
MEM 847.246094 1721469278.6231
MEM 847.246094 1721469278.7232
MEM 847.246094 1721469278.8234
MEM 848.027344 1721469278.9236
MEM 848.339844 1721469279.0239
MEM 848.496094 1721469279.1241
MEM 848.496094 1721469279.2243
MEM 848.808594 1721469279.3245
MEM 848.964844 1721469279.4247
MEM 848.964844 1721469279.5248
MEM 848.964844 1721469279.6250
MEM 848.964844 1721469279.7252
MEM 849.433594 1721469279.8254
MEM 849.589844 1721469279.9256
MEM 849.589844 1721469280.0258
MEM 849.589844 1721469280.1260
MEM 850.058594 1721469280.2262
MEM 850.371094 1721469280.3264
MEM 850.527344 1721469280.4266
MEM 850.527344 1721469280.5268
MEM 850.683594 1721469280.6270
MEM 850.996094 1721469280.7272
MEM 851.308594 1721469280.8274
MEM 851.621094 1721469280.9275
MEM 851.621094 1721469281.0277
MEM 851.621094 1721469281.1279
MEM 851.777344 1721469281.2281
MEM 851.777344 1721469281.3283
MEM 851.933594 1721469281.4285
MEM 852.246094 1721469281.5287
MEM 852.246094 1721469281.6289
MEM 852.246094 1721469281.7290
MEM 852.246094 1721469281.8292
MEM 852.871094 1721469281.9294
MEM 853.027344 1721469282.0296
MEM 853.183594 1721469282.1298
MEM 853.339844 1721469282.2300
MEM 853.339844 1721469282.3302
MEM 853.964844 1721469282.4303
MEM 854.277344 1721469282.5305
MEM 854.433594 1721469282.6307
MEM 854.902344 1721469282.7309
MEM 854.902344 1721469282.8311
MEM 854.902344 1721469282.9312
MEM 855.214844 1721469283.0314
MEM 855.527344 1721469283.1316
MEM 855.683594 1721469283.2318
MEM 856.308594 1721469283.3320
MEM 856.308594 1721469283.4322
MEM 856.308594 1721469283.5324
MEM 856.464844 1721469283.6326
MEM 856.621094 1721469283.7327
MEM 856.777344 1721469283.8329
MEM 856.777344 1721469283.9331
MEM 856.777344 1721469284.0333
MEM 856.777344 1721469284.1335
MEM 856.777344 1721469284.2337
MEM 857.089844 1721469284.3339
MEM 857.246094 1721469284.4341
MEM 857.558594 1721469284.5343
MEM 858.027344 1721469284.6345
MEM 858.027344 1721469284.7346
MEM 858.339844 1721469284.8348
MEM 858.339844 1721469284.9350
MEM 858.339844 1721469285.0352
MEM 858.339844 1721469285.1354
MEM 858.652344 1721469285.2356
MEM 858.964844 1721469285.3358
MEM 859.433594 1721469285.4359
MEM 859.902344 1721469285.5361
MEM 860.058594 1721469285.6363
MEM 860.058594 1721469285.7365
MEM 860.527344 1721469285.8367
MEM 860.527344 1721469285.9369
MEM 860.527344 1721469286.0371
MEM 860.527344 1721469286.1373
MEM 861.152344 1721469286.2375
MEM 861.621094 1721469286.3376
MEM 861.933594 1721469286.4379
MEM 861.933594 1721469286.5381
MEM 862.089844 1721469286.6383
MEM 862.089844 1721469286.7386
MEM 862.246094 1721469286.8388
MEM 862.246094 1721469286.9390
MEM 862.246094 1721469287.0393
MEM 862.558594 1721469287.1394
MEM 863.027344 1721469287.2396
MEM 863.339844 1721469287.3398
MEM 863.339844 1721469287.4401
MEM 863.964844 1721469287.5403
MEM 863.964844 1721469287.6405
MEM 864.277344 1721469287.7408
MEM 864.589844 1721469287.8410
MEM 864.902344 1721469287.9412
MEM 865.371094 1721469288.0414
MEM 865.996094 1721469288.1417
MEM 865.996094 1721469288.2419
MEM 866.308594 1721469288.3421
MEM 866.777344 1721469288.4423
MEM 867.089844 1721469288.5425
MEM 867.089844 1721469288.6428
MEM 867.089844 1721469288.7430
MEM 867.402344 1721469288.8432
MEM 867.402344 1721469288.9435
MEM 868.339844 1721469289.0437
MEM 868.339844 1721469289.1439
MEM 868.652344 1721469289.2441
MEM 869.433594 1721469289.3443
MEM 869.746094 1721469289.4445
MEM 870.371094 1721469289.5448
MEM 870.527344 1721469289.6449
MEM 870.839844 1721469289.7451
MEM 870.839844 1721469289.8453
MEM 871.308594 1721469289.9455
MEM 871.464844 1721469290.0458
MEM 871.464844 1721469290.1460
MEM 871.777344 1721469290.2462
MEM 872.089844 1721469290.3464
MEM 872.246094 1721469290.4467
MEM 872.871094 1721469290.5469
MEM 872.871094 1721469290.6471
MEM 873.027344 1721469290.7473
MEM 873.496094 1721469290.8475
MEM 873.964844 1721469290.9477
MEM 874.121094 1721469291.0479
MEM 874.746094 1721469291.1481
MEM 874.902344 1721469291.2483
MEM 875.683594 1721469291.3485
MEM 876.152344 1721469291.4488
MEM 876.777344 1721469291.5490
MEM 876.777344 1721469291.6492
MEM 877.246094 1721469291.7494
MEM 877.558594 1721469291.8496
MEM 877.714844 1721469291.9497
MEM 878.027344 1721469292.0499
MEM 878.496094 1721469292.1501
MEM 878.964844 1721469292.2503
MEM 879.277344 1721469292.3505
MEM 879.277344 1721469292.4507
MEM 879.589844 1721469292.5509
MEM 879.746094 1721469292.6510
MEM 880.058594 1721469292.7512
MEM 880.371094 1721469292.8514
MEM 881.152344 1721469292.9516
MEM 881.464844 1721469293.0518
MEM 882.246094 1721469293.1520
MEM 882.246094 1721469293.2522
MEM 882.558594 1721469293.3524
MEM 882.714844 1721469293.4525
