全年 能耗,全年总 Reward,平均 Reward,平均 PMV,平均 温度 (人在家),平均 温度 (人不在家),平均 PMV (人在家),平均 PMV (人不在家),月均 温度 (人在家),月均 温度 (人不在家),月均 PMV (人在家),月均 PMV (人不在家),月均 能耗 
598.02,22504.74,0.64,1.86,19.83,21.66,1.96,1.68,"[7.4, 8.36, 14.24, 21.28, 24.99, 27.73, 30.06, 28.77, 26.83, 22.09, 15.76, 9.74]","[10.3, 10.72, 16.99, 23.45, 25.63, 27.79, 31.2, 29.93, 27.12, 24.71, 18.76, 12.59]","[3.17, 3.4, 3.16, 1.78, 1.19, 0.51, 1.38, 0.77, 0.75, 1.7, 2.96, 2.84]","[2.6, 2.88, 2.48, 1.02, 0.96, 0.7, 2.07, 1.31, 1.02, 0.84, 2.15, 2.24]","[63.3, 56.53, 64.9, 72.24, 50.26, 25.54, 11.94, 8.87, 40.79, 73.48, 66.67, 63.5]"
476.29,24880.02,0.71,1.96,19.99,19.99,1.88,2.08,"[9.46, 10.35, 15.15, 20.76, 24.02, 26.75, 29.63, 28.42, 25.56, 21.55, 16.18, 11.4]","[8.46, 8.97, 14.66, 20.49, 24.2, 27.25, 30.74, 29.54, 26.27, 21.76, 16.1, 10.68]","[2.7, 2.92, 2.82, 1.82, 1.4, 0.73, 1.47, 0.83, 1.01, 1.78, 2.71, 2.45]","[2.92, 3.25, 3.01, 1.88, 1.46, 0.79, 2.03, 1.25, 1.22, 1.79, 2.81, 2.62]","[60.43, 54.66, 56.65, 51.18, 34.65, 14.86, 8.36, 6.14, 25.23, 50.39, 53.23, 60.51]"
1266.43,25167.79,0.72,0.96,23.57,24.09,0.94,0.98,"[15.89, 16.76, 20.82, 24.94, 26.36, 27.45, 29.57, 28.61, 26.99, 25.49, 21.73, 17.81]","[16.37, 16.85, 21.35, 25.29, 26.88, 28.05, 29.73, 29.16, 27.82, 25.93, 22.64, 18.6]","[1.35, 1.43, 1.34, 0.67, 0.59, 0.49, 1.22, 0.74, 0.6, 0.57, 1.2, 1.07]","[1.31, 1.43, 1.31, 0.7, 0.66, 0.59, 1.33, 1.03, 0.79, 0.63, 1.09, 0.97]","[180.89, 163.48, 160.65, 119.89, 72.13, 25.65, 26.85, 16.39, 51.43, 114.69, 152.89, 181.5]"
938.18,25805.64,0.74,0.99,24.22,22.54,0.77,1.35,"[18.44, 19.28, 22.44, 24.86, 25.83, 27.06, 29.29, 28.39, 26.21, 25.18, 23.05, 20.27]","[13.67, 14.12, 18.57, 23.12, 25.83, 27.92, 30.29, 29.68, 27.38, 24.09, 19.82, 15.48]","[0.89, 0.91, 0.91, 0.58, 0.68, 0.54, 1.21, 0.72, 0.72, 0.58, 0.81, 0.71]","[1.79, 2.03, 1.93, 1.03, 0.89, 0.63, 1.6, 1.17, 0.88, 0.99, 1.74, 1.55]","[143.9, 129.69, 120.39, 85.77, 50.13, 16.05, 18.11, 8.34, 31.17, 81.68, 112.02, 140.93]"
1294.07,23210.68,0.66,0.86,25.08,24.89,0.76,1.04,"[20.34, 21.11, 23.15, 25.11, 26.52, 27.69, 30.06, 28.74, 27.3, 25.37, 23.56, 21.74]","[18.33, 18.8, 22.43, 24.98, 26.78, 28.21, 31.49, 30.06, 28.08, 25.43, 23.31, 20.38]","[0.64, 0.64, 0.83, 0.75, 0.69, 0.53, 1.4, 0.79, 0.68, 0.73, 0.83, 0.59]","[1.06, 1.12, 1.11, 0.75, 0.75, 0.67, 2.03, 1.32, 0.92, 0.79, 1.01, 0.93]","[208.62, 187.84, 165.39, 108.54, 69.62, 26.45, 14.21, 9.11, 48.41, 101.46, 152.44, 201.97]"
926.75,26924.84,0.77,1.4,24.01,19.24,0.94,2.18,"[16.72, 17.54, 21.41, 25.17, 26.59, 27.71, 29.94, 28.68, 27.36, 25.63, 22.33, 18.64]","[8.03, 8.53, 14.18, 20.01, 23.24, 26.1, 29.43, 28.31, 25.13, 21.27, 15.68, 10.23]","[1.25, 1.32, 1.3, 0.71, 0.62, 0.49, 1.33, 0.74, 0.62, 0.62, 1.18, 1.07]","[3.02, 3.35, 3.14, 2.1, 1.73, 0.96, 1.86, 1.08, 1.38, 1.96, 2.94, 2.73]","[113.54, 102.13, 106.17, 93.23, 66.05, 36.74, 25.43, 22.78, 51.21, 93.27, 102.56, 113.62]"
890.03,25913.27,0.74,1.39,21.58,24.67,1.55,1.12,"[7.89, 9.17, 17.58, 24.86, 26.72, 27.83, 30.11, 28.81, 27.45, 25.68, 20.0, 12.09]","[16.87, 17.57, 22.0, 25.55, 27.02, 28.2, 31.47, 30.04, 28.13, 26.15, 23.19, 19.34]","[3.19, 3.33, 2.43, 0.83, 0.61, 0.49, 1.38, 0.78, 0.62, 0.62, 1.9, 2.55]","[1.44, 1.49, 1.28, 0.72, 0.67, 0.65, 2.02, 1.31, 0.92, 0.65, 1.11, 1.21]","[86.58, 82.5, 114.58, 108.9, 69.11, 23.34, 12.4, 8.74, 44.2, 108.01, 121.75, 109.9]"
1181.08,22183.46,0.63,0.99,24.11,24.37,0.89,1.15,"[17.02, 17.88, 21.6, 25.53, 26.62, 27.24, 29.74, 28.5, 27.2, 26.1, 22.51, 18.9]","[18.1, 18.52, 22.28, 23.79, 25.59, 27.64, 31.14, 29.87, 26.93, 24.13, 23.43, 20.61]","[1.15, 1.2, 1.19, 0.61, 0.56, 0.58, 1.45, 0.82, 0.61, 0.47, 1.09, 0.94]","[1.14, 1.19, 1.08, 0.97, 1.04, 0.79, 2.12, 1.35, 1.17, 1.11, 0.93, 0.95]","[181.29, 162.83, 157.62, 110.76, 62.16, 13.42, 5.8, 3.38, 37.64, 108.42, 152.52, 185.26]"
