全年 能耗,全年总 Reward,平均 Reward,平均 PMV,平均 温度 (人在家),平均 温度 (人不在家),平均 PMV (人在家),平均 PMV (人不在家),月均 温度 (人在家),月均 温度 (人不在家),月均 PMV (人在家),月均 PMV (人不在家),月均 能耗 
872.02,51057.03,0.73,1.84,20.17,20.64,1.78,1.94,"[10.15, 11.1, 15.74, 20.87, 24.02, 26.71, 28.81, 28.1, 25.48, 21.59, 16.75, 12.18]","[9.35, 9.93, 15.72, 21.32, 24.71, 27.6, 30.45, 29.73, 26.59, 22.58, 17.19, 11.77]","[2.56, 2.75, 2.67, 1.81, 1.41, 0.71, 1.11, 0.69, 1.0, 1.81, 2.57, 2.29]","[2.75, 3.03, 2.76, 1.71, 1.37, 0.82, 1.85, 1.28, 1.22, 1.6, 2.53, 2.38]","[120.86, 109.31, 109.64, 88.37, 53.27, 24.07, 10.78, 8.5, 35.46, 86.82, 103.9, 121.02]"
2277.15,54194.47,0.77,1.01,25.65,21.86,0.67,1.58,"[20.46, 21.37, 24.16, 26.47, 27.26, 27.86, 29.43, 28.75, 27.73, 26.67, 24.85, 22.46]","[11.17, 11.69, 17.62, 22.79, 25.63, 27.86, 30.56, 29.94, 27.29, 23.85, 19.22, 14.07]","[0.75, 0.7, 0.76, 0.53, 0.49, 0.48, 1.18, 0.77, 0.6, 0.45, 0.68, 0.64]","[2.35, 2.61, 2.2, 1.14, 0.99, 0.7, 1.83, 1.31, 1.0, 1.08, 1.9, 1.88]","[325.42, 295.83, 286.16, 213.15, 132.45, 43.47, 59.77, 18.27, 92.34, 200.32, 274.92, 335.05]"
824.53,44987.42,0.64,2.14,18.95,19.84,2.14,2.14,"[9.17, 10.04, 14.38, 18.45, 22.49, 26.41, 28.21, 28.14, 24.27, 18.85, 15.25, 11.09]","[7.79, 8.35, 13.92, 20.87, 24.67, 27.55, 30.64, 29.77, 26.59, 22.33, 15.27, 9.5]","[2.76, 2.99, 3.03, 2.57, 2.02, 0.83, 1.15, 0.67, 1.45, 2.77, 2.98, 2.52]","[3.07, 3.41, 3.28, 1.8, 1.32, 0.78, 1.95, 1.3, 1.18, 1.63, 3.1, 2.89]","[108.63, 98.72, 86.59, 72.2, 63.66, 38.57, 41.87, 21.66, 52.75, 65.56, 78.38, 95.94]"
2398.35,53194.72,0.76,1.07,24.68,20.79,0.64,1.77,"[19.27, 20.1, 23.37, 25.9, 26.7, 27.33, 27.02, 27.7, 26.99, 26.17, 24.11, 21.26]","[8.34, 8.81, 15.9, 22.7, 25.65, 27.8, 29.45, 29.6, 27.2, 23.98, 17.78, 11.49]","[0.89, 0.88, 0.85, 0.49, 0.47, 0.45, 0.71, 0.53, 0.5, 0.43, 0.75, 0.76]","[2.98, 3.32, 2.72, 1.2, 0.96, 0.72, 1.45, 1.19, 0.92, 1.05, 2.37, 2.48]","[305.83, 276.0, 286.33, 235.82, 150.9, 55.74, 102.78, 43.7, 111.56, 231.23, 279.78, 318.7]"
1685.63,54339.82,0.78,1.34,22.38,23.18,1.3,1.4,"[13.76, 14.64, 18.91, 23.4, 25.51, 27.33, 29.9, 28.68, 26.48, 23.94, 19.85, 15.68]","[14.81, 15.32, 19.74, 23.39, 25.81, 27.82, 31.26, 29.94, 27.31, 24.23, 20.89, 17.06]","[1.78, 1.92, 1.83, 1.1, 0.95, 0.64, 1.45, 0.83, 0.82, 1.06, 1.7, 1.52]","[1.68, 1.82, 1.72, 1.19, 1.04, 0.75, 2.07, 1.33, 1.11, 1.15, 1.55, 1.41]","[241.36, 217.61, 213.58, 163.48, 101.59, 39.53, 20.25, 17.49, 70.19, 154.37, 204.15, 242.05]"
2386.63,46687.49,0.67,1.15,24.08,20.71,0.8,1.73,"[18.49, 19.69, 22.96, 25.17, 26.33, 27.27, 25.31, 26.85, 26.79, 25.29, 23.61, 20.97]","[8.99, 9.89, 16.39, 22.19, 25.39, 27.93, 27.57, 29.17, 26.92, 23.39, 17.92, 12.14]","[0.98, 0.89, 0.91, 0.72, 0.67, 0.51, 1.18, 0.75, 0.62, 0.74, 0.82, 0.74]","[2.82, 3.04, 2.6, 1.38, 1.14, 0.73, 1.12, 1.09, 0.96, 1.3, 2.33, 2.32]","[293.72, 277.5, 278.87, 196.91, 132.52, 67.87, 172.95, 92.23, 111.91, 180.0, 262.37, 319.79]"
2834.83,49982.43,0.71,0.93,24.33,24.18,0.8,1.15,"[18.7, 19.57, 22.76, 25.01, 25.7, 26.65, 29.58, 28.37, 25.87, 25.45, 23.33, 20.6]","[19.07, 19.83, 22.01, 22.35, 25.07, 27.61, 31.12, 29.87, 26.77, 22.77, 22.23, 21.13]","[0.87, 0.88, 0.85, 0.56, 0.72, 0.69, 1.45, 0.81, 0.83, 0.52, 0.74, 0.68]","[0.88, 0.9, 1.01, 1.25, 1.15, 0.75, 2.1, 1.32, 1.13, 1.44, 1.07, 0.78]","[468.56, 427.28, 387.55, 235.66, 134.48, 35.3, 18.46, 12.16, 75.76, 222.04, 349.73, 467.83]"
2357.37,43941.28,0.63,1.04,23.66,23.68,0.94,1.19,"[16.32, 17.19, 21.04, 24.91, 26.25, 27.2, 29.63, 28.44, 26.95, 25.36, 21.98, 18.26]","[16.04, 16.5, 20.86, 23.79, 25.68, 27.73, 31.02, 29.91, 27.03, 24.56, 22.12, 18.42]","[1.27, 1.34, 1.26, 0.66, 0.62, 0.59, 1.39, 0.83, 0.62, 0.58, 1.13, 1.01]","[1.38, 1.5, 1.32, 0.89, 0.99, 0.75, 2.05, 1.34, 1.1, 0.89, 1.09, 1.01]","[362.01, 326.23, 314.07, 219.8, 125.5, 35.66, 17.2, 8.91, 79.58, 208.42, 297.07, 362.91]"
