全年 能耗,全年总 Reward,平均 Reward,平均 PMV,平均 温度 (人在家),平均 温度 (人不在家),平均 PMV (人在家),平均 PMV (人不在家),月均 温度 (人在家),月均 温度 (人不在家),月均 PMV (人在家),月均 PMV (人不在家),月均 能耗 
1340.74,50593.49,0.72,1.57,22.51,20.04,1.23,2.15,"[16.12, 17.01, 20.3, 22.22, 24.09, 26.17, 29.3, 28.16, 25.08, 22.14, 21.05, 18.11]","[9.85, 10.51, 14.86, 19.47, 23.5, 27.14, 30.78, 29.68, 25.82, 20.7, 15.87, 11.6]","[1.29, 1.36, 1.33, 1.29, 1.3, 0.87, 1.55, 0.89, 1.08, 1.55, 1.25, 1.01]","[2.63, 2.89, 2.94, 2.2, 1.74, 0.92, 2.18, 1.36, 1.44, 2.18, 2.87, 2.44]","[260.55, 237.78, 203.29, 86.5, 34.93, 1.42, 0.12, 0.0, 10.61, 66.57, 182.8, 256.16]"
2355.46,54355.47,0.78,1.15,25.59,20.74,0.69,1.91,"[20.24, 21.09, 23.99, 26.25, 27.25, 28.04, 30.07, 28.84, 27.78, 26.44, 24.66, 22.12]","[9.15, 9.71, 15.39, 21.64, 25.22, 27.85, 31.05, 29.82, 27.28, 22.87, 16.87, 11.3]","[0.72, 0.69, 0.76, 0.5, 0.51, 0.53, 1.35, 0.81, 0.61, 0.44, 0.68, 0.66]","[2.81, 3.1, 2.88, 1.53, 1.14, 0.69, 1.97, 1.27, 0.97, 1.45, 2.65, 2.55]","[327.64, 298.29, 284.66, 212.62, 152.18, 75.82, 48.78, 40.11, 110.73, 208.74, 268.91, 326.98]"
1056.9,53078.77,0.76,3.04,15.25,16.28,3.16,2.85,"[6.63, 7.51, 11.86, 16.55, 18.46, 19.98, 22.34, 21.25, 19.29, 17.22, 12.85, 8.56]","[7.84, 8.31, 13.05, 17.13, 19.0, 20.65, 23.75, 22.44, 20.19, 17.94, 14.36, 10.15]","[3.33, 3.6, 3.68, 3.18, 3.3, 3.06, 2.29, 2.62, 2.83, 3.31, 3.67, 3.11]","[3.06, 3.41, 3.33, 2.97, 3.09, 2.77, 2.01, 2.16, 2.53, 3.03, 3.2, 2.74]","[0.47, 0.8, 26.2, 64.42, 127.78, 176.18, 198.89, 201.69, 154.74, 77.54, 28.12, 0.07]"
895.44,49404.42,0.71,1.86,20.1,20.72,1.84,1.91,"[9.87, 10.91, 15.62, 20.73, 23.9, 26.63, 29.08, 28.25, 25.42, 21.43, 16.68, 12.11]","[9.9, 10.28, 15.79, 21.25, 24.65, 27.52, 30.52, 29.74, 26.58, 22.51, 17.21, 11.98]","[2.62, 2.8, 2.7, 1.86, 1.46, 0.77, 1.28, 0.8, 1.06, 1.87, 2.58, 2.3]","[2.63, 2.95, 2.73, 1.68, 1.34, 0.81, 1.89, 1.3, 1.21, 1.58, 2.51, 2.33]","[120.86, 109.31, 110.9, 90.48, 61.0, 23.83, 12.73, 9.72, 42.33, 88.61, 104.64, 121.02]"
3073.02,44827.71,0.64,0.97,23.44,24.56,0.97,0.97,"[14.52, 15.43, 20.36, 25.69, 27.03, 27.78, 29.49, 28.39, 27.53, 26.41, 21.65, 16.52]","[16.24, 16.74, 21.98, 26.12, 27.36, 28.06, 30.78, 29.36, 28.07, 26.75, 23.53, 19.25]","[1.63, 1.76, 1.57, 0.57, 0.44, 0.42, 1.08, 0.59, 0.53, 0.36, 1.35, 1.33]","[1.46, 1.55, 1.26, 0.56, 0.5, 0.51, 1.65, 1.0, 0.71, 0.44, 0.95, 1.04]","[375.72, 339.93, 371.53, 326.51, 225.58, 102.44, 51.24, 46.12, 156.24, 322.2, 365.27, 390.24]"
3113.68,48515.55,0.69,0.76,25.26,25.27,0.67,0.91,"[19.39, 20.26, 23.44, 26.26, 27.2, 27.84, 29.93, 28.73, 27.68, 26.6, 24.21, 21.26]","[19.34, 19.88, 23.33, 25.6, 26.55, 27.88, 30.99, 29.92, 27.39, 26.11, 24.3, 21.51]","[0.75, 0.74, 0.79, 0.48, 0.46, 0.48, 1.32, 0.77, 0.58, 0.38, 0.69, 0.58]","[0.93, 0.92, 0.83, 0.54, 0.7, 0.7, 2.01, 1.31, 1.0, 0.52, 0.69, 0.73]","[479.7, 431.43, 410.16, 285.48, 164.01, 54.86, 25.54, 22.08, 103.74, 270.88, 386.33, 479.46]"
2101.45,53524.43,0.76,1.16,23.91,21.2,0.86,1.65,"[16.64, 18.44, 22.57, 24.98, 25.93, 26.81, 27.4, 27.81, 26.48, 25.14, 23.84, 20.51]","[11.49, 11.45, 16.7, 21.98, 25.1, 27.66, 28.87, 29.43, 26.83, 23.13, 18.03, 13.06]","[1.5, 1.3, 1.02, 0.63, 0.66, 0.58, 0.93, 0.71, 0.62, 0.66, 0.76, 0.99]","[2.26, 2.66, 2.45, 1.4, 1.13, 0.72, 1.34, 1.21, 1.01, 1.32, 2.26, 2.09]","[272.22, 258.07, 268.24, 189.87, 118.86, 37.53, 87.0, 31.42, 82.44, 180.93, 266.24, 308.62]"
2050.63,36159.42,0.52,0.98,24.9,22.19,0.75,1.36,"[19.04, 20.4, 23.16, 25.59, 26.77, 27.73, 28.82, 28.48, 27.36, 25.87, 23.86, 21.42]","[12.36, 13.31, 18.45, 23.21, 25.8, 27.91, 29.09, 29.41, 27.2, 24.2, 19.74, 15.07]","[1.06, 0.95, 0.94, 0.63, 0.59, 0.48, 0.89, 0.66, 0.59, 0.58, 0.79, 0.79]","[2.05, 2.2, 1.96, 1.0, 0.93, 0.68, 1.23, 1.08, 0.9, 0.96, 1.75, 1.6]","[282.02, 266.98, 251.32, 183.53, 118.05, 45.17, 77.32, 35.89, 85.35, 177.27, 232.33, 295.4]"
