全年 能耗,全年总 Reward,平均 Reward,平均 PMV,平均 温度 (人在家),平均 温度 (人不在家),平均 PMV (人在家),平均 PMV (人不在家),月均 温度 (人在家),月均 温度 (人不在家),月均 PMV (人在家),月均 PMV (人不在家),月均 能耗 
1073.8,25163.77,0.72,1.2,23.75,22.23,0.96,1.6,"[17.5, 18.32, 21.48, 24.36, 25.67, 26.78, 29.55, 28.32, 26.46, 24.7, 22.21, 19.28]","[15.58, 16.22, 17.97, 20.98, 24.44, 27.51, 31.05, 29.83, 26.55, 21.9, 18.23, 16.05]","[1.1, 1.14, 1.18, 0.8, 0.78, 0.65, 1.47, 0.84, 0.7, 0.81, 1.1, 0.93]","[1.44, 1.59, 2.07, 1.7, 1.4, 0.79, 2.12, 1.33, 1.21, 1.76, 2.19, 1.53]","[170.37, 154.76, 137.78, 96.73, 59.7, 18.5, 8.48, 6.45, 39.49, 94.18, 125.29, 162.08]"
1124.6,26316.01,0.75,0.87,24.84,24.64,0.75,1.07,"[19.17, 20.02, 23.01, 25.47, 26.59, 27.45, 29.88, 28.55, 27.21, 25.78, 23.65, 20.95]","[19.63, 20.28, 22.52, 23.13, 25.6, 27.8, 31.22, 29.93, 27.19, 23.41, 22.93, 21.67]","[0.81, 0.81, 0.88, 0.58, 0.58, 0.49, 1.39, 0.79, 0.6, 0.54, 0.81, 0.68]","[0.87, 0.9, 0.96, 1.02, 0.97, 0.69, 2.06, 1.31, 1.0, 1.23, 0.96, 0.81]","[176.84, 159.92, 147.72, 96.46, 61.57, 20.84, 10.49, 7.4, 41.78, 89.12, 136.31, 176.13]"
1035.13,21817.25,0.62,1.38,23.11,21.41,1.13,1.79,"[17.96, 18.72, 21.24, 21.73, 24.07, 26.68, 29.59, 28.39, 25.4, 21.26, 22.07, 19.93]","[11.65, 12.22, 16.92, 21.25, 24.78, 27.64, 31.14, 29.9, 26.84, 22.33, 17.95, 13.64]","[0.98, 1.02, 1.12, 1.47, 1.33, 0.69, 1.45, 0.82, 1.0, 1.89, 1.0, 0.75]","[2.29, 2.54, 2.4, 1.63, 1.29, 0.77, 2.1, 1.35, 1.13, 1.62, 2.29, 2.08]","[179.44, 160.82, 143.57, 71.35, 43.98, 17.53, 9.36, 6.67, 31.09, 55.51, 136.05, 179.77]"
442.05,25175.09,0.72,1.7,21.16,21.31,1.63,1.82,"[12.41, 13.25, 17.33, 21.3, 24.17, 26.81, 29.67, 28.47, 25.62, 21.62, 18.32, 14.35]","[11.28, 11.76, 16.82, 21.23, 24.76, 27.57, 31.08, 29.83, 26.72, 22.29, 18.18, 13.59]","[2.09, 2.25, 2.24, 1.71, 1.4, 0.74, 1.49, 0.85, 1.04, 1.83, 2.15, 1.85]","[2.41, 2.66, 2.47, 1.64, 1.29, 0.77, 2.09, 1.33, 1.15, 1.63, 2.28, 2.17]","[60.11, 54.25, 54.39, 43.92, 30.07, 12.08, 6.79, 4.55, 21.29, 43.11, 51.4, 60.08]"
857.48,23434.65,0.67,1.31,23.93,21.0,0.97,1.88,"[20.24, 20.86, 22.03, 22.27, 24.53, 26.83, 29.63, 28.41, 25.96, 22.23, 22.34, 21.63]","[12.08, 12.45, 16.28, 20.08, 24.02, 27.47, 30.99, 29.84, 26.23, 21.18, 17.29, 13.53]","[0.73, 0.74, 0.94, 1.24, 1.14, 0.62, 1.44, 0.81, 0.79, 1.48, 0.93, 0.69]","[2.11, 2.4, 2.54, 2.0, 1.57, 0.8, 2.14, 1.32, 1.33, 2.02, 2.44, 1.96]","[164.62, 145.49, 116.75, 49.1, 30.07, 14.46, 6.75, 4.39, 22.67, 40.24, 104.64, 158.29]"
1559.77,26260.14,0.75,0.75,25.33,26.07,0.7,0.85,"[19.13, 19.97, 23.49, 26.46, 27.43, 28.06, 30.09, 28.86, 27.92, 26.74, 24.33, 21.07]","[20.13, 20.67, 24.2, 26.74, 27.75, 28.43, 31.3, 30.02, 28.61, 27.16, 25.14, 22.32]","[0.79, 0.79, 0.83, 0.51, 0.47, 0.49, 1.32, 0.78, 0.61, 0.41, 0.73, 0.63]","[0.82, 0.8, 0.81, 0.56, 0.57, 0.64, 1.86, 1.28, 0.88, 0.49, 0.72, 0.73]","[238.86, 215.96, 204.78, 141.74, 85.75, 26.82, 15.62, 10.19, 54.98, 133.87, 192.6, 238.61]"
1119.05,25795.34,0.74,1.18,23.68,23.26,1.02,1.43,"[19.23, 20.07, 22.5, 22.95, 23.9, 26.02, 29.27, 28.13, 24.43, 23.39, 22.94, 21.04]","[19.0, 19.98, 21.02, 20.48, 23.56, 27.11, 30.81, 29.7, 25.71, 20.93, 20.05, 20.41]","[0.78, 0.78, 0.85, 1.1, 1.38, 0.93, 1.58, 0.91, 1.32, 1.18, 0.8, 0.63]","[0.87, 0.86, 1.23, 1.85, 1.72, 0.94, 2.22, 1.37, 1.49, 2.09, 1.64, 0.86]","[228.65, 209.19, 171.55, 65.31, 19.74, 0.0, 0.0, 0.0, 0.0, 58.95, 143.63, 222.02]"
254.84,24788.24,0.71,2.08,18.59,20.44,2.25,1.81,"[6.6, 7.48, 12.69, 19.01, 23.64, 27.3, 28.92, 28.5, 25.97, 19.82, 13.87, 8.51]","[8.26, 8.6, 15.27, 22.47, 25.47, 27.85, 28.6, 29.28, 27.01, 23.93, 17.27, 10.62]","[3.34, 3.61, 3.57, 2.46, 1.62, 0.55, 1.18, 0.74, 0.93, 2.48, 3.46, 3.13]","[3.01, 3.36, 2.92, 1.25, 0.99, 0.67, 1.33, 1.16, 0.9, 1.05, 2.53, 2.65]","[4.31, 2.87, 14.38, 35.22, 32.36, 18.57, 36.16, 13.64, 31.28, 40.93, 19.49, 5.63]"
